,0
150,Energy
151,Real Estate
152,Financials
153,Communication Services
154,Communication Services
155,Communication Services
156,Consumer Discretionary
157,Consumer Discretionary
158,Utilities
159,Industrials
160,Materials
161,Utilities
162,Real Estate
163,Utilities
164,Information Technology
165,Financials
166,Materials
167,Industrials
168,Consumer Discretionary
169,Materials
170,Utilities
171,Health Care
172,Communication Services
173,Industrials
174,Utilities
175,Energy
176,Industrials
177,Real Estate
178,Real Estate
179,Real Estate
180,Consumer Staples
181,Utilities
182,Utilities
183,Financials
184,Utilities
185,Consumer Discretionary
186,Industrials
187,Real Estate
188,Energy
189,Information Technology
190,Communication Services
191,Industrials
192,Real Estate
193,Industrials
194,Information Technology
195,Financials
196,Utilities
197,Financials
198,Information Technology
199,Information Technology
200,Information Technology
201,Industrials
202,Industrials
203,Materials
204,Consumer Discretionary
205,Consumer Discretionary
206,Information Technology
207,Industrials
208,Industrials
209,Financials
210,Materials
211,Consumer Discretionary
212,Consumer Discretionary
213,Information Technology
214,Industrials
215,Industrials
216,Consumer Staples
217,Consumer Discretionary
218,Consumer Discretionary
219,Health Care
220,Information Technology
221,Financials
222,Industrials
223,Energy
224,Consumer Discretionary
225,Consumer Discretionary
226,Industrials
227,Financials
228,Consumer Discretionary
229,Health Care
230,Real Estate
231,Energy
232,Health Care
233,Consumer Staples
234,Energy
235,Information Technology
236,Consumer Discretionary
237,Energy
238,Health Care
239,Consumer Discretionary
240,Industrials
241,Consumer Staples
242,Real Estate
243,Information Technology
244,Health Care
245,Financials
246,Industrials
247,Health Care
248,Industrials
249,Industrials
250,Health Care
251,Industrials
252,Information Technology
253,Financials
254,Information Technology
255,Health Care
256,Materials
257,Communication Services
258,Materials
259,Information Technology
260,Health Care
261,Financials
262,Information Technology
263,Health Care
264,Real Estate
265,Information Technology
266,Industrials
267,Industrials
268,Financials
269,Consumer Staples
270,Health Care
271,Industrials
272,Financials
273,Information Technology
274,Industrials
275,Consumer Staples
276,Financials
277,Information Technology
278,Consumer Staples
279,Real Estate
280,Energy
281,Information Technology
282,Consumer Discretionary
283,Consumer Staples
284,Consumer Staples
285,Consumer Discretionary
286,Industrials
287,Health Care
288,Information Technology
289,Consumer Staples
290,Consumer Discretionary
291,Consumer Discretionary
292,Health Care
293,Financials
294,Materials
295,Consumer Discretionary
296,Industrials
297,Financials
298,Consumer Discretionary
299,Materials
300,Financials
301,Real Estate
302,Consumer Discretionary
303,Energy
304,Energy
305,Consumer Discretionary
306,Financials
307,Materials
308,Industrials
309,Financials
310,Consumer Discretionary
311,Consumer Staples
312,Information Technology
313,Consumer Discretionary
314,Health Care
315,Health Care
316,Health Care
317,Financials
318,Health Care
319,Consumer Discretionary
320,Information Technology
321,Information Technology
322,Information Technology
323,Real Estate
324,Consumer Discretionary
325,Consumer Staples
326,Consumer Staples
327,Consumer Staples
328,Financials
329,Financials
330,Materials
331,Information Technology
332,Financials
333,Health Care
334,Financials
335,Energy
336,Health Care
337,Information Technology
338,Communication Services
339,Consumer Discretionary
340,Materials
341,Communication Services
342,Communication Services
343,Utilities
344,Industrials
345,Consumer Discretionary
346,Utilities
347,Energy
348,Consumer Discretionary
349,Industrials
350,Financials
351,Industrials
352,Consumer Discretionary
353,Utilities
354,Materials
355,Information Technology
356,Consumer Discretionary
357,Energy
358,Communication Services
359,Energy
360,Information Technology
361,Industrials
362,Materials
363,Industrials
364,Information Technology
365,Information Technology
366,Industrials
367,Financials
368,Consumer Staples
369,Health Care
370,Health Care
371,Health Care
372,Consumer Staples
373,Energy
374,Utilities
375,Energy
376,Financials
377,Consumer Discretionary
378,Materials
379,Utilities
380,Financials
381,Consumer Staples
382,Financials
383,Real Estate
384,Financials
385,Utilities
386,Real Estate
387,Consumer Discretionary
388,Consumer Discretionary
389,Information Technology
390,Industrials
391,Information Technology
392,Health Care
393,Financials
394,Industrials
395,Real Estate
396,Information Technology
397,Real Estate
398,Health Care
399,Financials
400,Industrials
401,Health Care
402,Industrials
403,Industrials
404,Industrials
405,Industrials
406,Consumer Discretionary
407,Consumer Discretionary
408,Information Technology
409,Real Estate
410,Energy
411,Information Technology
412,Materials
413,Utilities
414,Materials
415,Real Estate
416,Information Technology
417,Real Estate
418,Industrials
419,Utilities
420,Industrials
421,Financials
422,Industrials
423,Consumer Discretionary
424,Financials
425,Health Care
426,Financials
427,Financials
428,Information Technology
429,Financials
430,Information Technology
431,Consumer Staples
432,Financials
433,Communication Services
434,Consumer Discretionary
435,Consumer Discretionary
436,Information Technology
437,Energy
438,Health Care
439,Information Technology
440,Industrials
441,Health Care
442,Consumer Discretionary
443,Communication Services
444,Consumer Discretionary
445,Financials
446,Information Technology
447,Consumer Discretionary
448,Industrials
449,Financials
450,Communication Services
451,Communication Services
452,Communication Services
453,Consumer Staples
454,Real Estate
455,Consumer Discretionary
456,Financials
457,Consumer Discretionary
458,Consumer Discretionary
459,Industrials
460,Industrials
461,Health Care
462,Industrials
463,Industrials
464,Industrials
465,Health Care
466,Financials
467,Consumer Discretionary
468,Energy
469,Health Care
470,Real Estate
471,Information Technology
472,Industrials
473,"Communication Services
"
474,Health Care
475,Communication Services
476,Financials
477,Real Estate
478,Materials
479,Industrials
480,Consumer Staples
481,Consumer Staples
482,Communication Services
483,Industrials
484,Health Care
485,Utilities
486,Health Care
487,Financials
488,Real Estate
489,Information Technology
490,Information Technology
491,Materials
492,Materials
493,Consumer Discretionary
494,Energy
495,Financials
496,Consumer Discretionary
497,Utilities
498,Information Technology
499,Information Technology
500,Industrials
501,Consumer Discretionary
502,Health Care
503,Financials
504,Health Care
